SNR_1,SNR_2,BLER
1.5,1.4,0.990196078431373
1.5,1.5,0.990196078431373
1.5,1.6,0.971153846153846
1.5,1.7,0.870689655172414
1.5,1.8,0.765151515151515
1.5,1.9,0.587209302325581
1.5,2,0.548913043478261
1.5,2.1,0.490291262135922
1.5,2.2,0.5
1.5,2.3,0.485576923076923
1.5,2.4,0.490291262135922
1.5,2.5,0.495098039215686
1.6,1,0.935185185185185
1.6,1.1,0.94392523364486
1.6,1.2,0.926605504587156
1.6,1.3,0.961904761904762
1.6,1.4,0.961904761904762
1.6,1.5,0.926605504587156
1.6,1.6,0.971153846153846
1.6,1.7,0.753731343283582
1.6,1.8,0.673333333333333
1.6,1.9,0.540106951871658
1.6,2,0.51530612244898
1.6,2.1,0.467592592592593
1.6,2.2,0.450892857142857
1.6,2.3,0.459090909090909
1.6,2.4,0.450892857142857
1.6,2.5,0.442982456140351
1.7,1,0.870689655172414
1.7,1.1,0.848739495798319
1.7,1.2,0.848739495798319
1.7,1.3,0.848739495798319
1.7,1.4,0.885964912280702
1.7,1.5,0.808
1.7,1.6,0.821138211382114
1.7,1.7,0.677852348993289
1.7,1.8,0.480952380952381
1.7,1.9,0.497536945812808
1.7,2,0.400793650793651
1.7,2.1,0.385496183206107
1.7,2.2,0.348275862068965
1.7,2.3,0.368613138686131
1.7,2.4,0.341216216216216
1.7,2.5,0.410569105691057
1.8,1,0.691780821917808
1.8,1.1,0.748148148148148
1.8,1.2,0.677852348993289
1.8,1.3,0.731884057971015
1.8,1.4,0.706293706293706
1.8,1.5,0.737226277372263
1.8,1.6,0.673333333333333
1.8,1.7,0.567415730337079
1.8,1.8,0.36996336996337
1.8,1.9,0.300595238095238
1.8,2,0.258974358974359
1.8,2.1,0.217672413793103
1.8,2.2,0.235981308411215
1.8,2.3,0.245145631067961
1.8,2.4,0.233796296296296
1.8,2.5,0.216738197424893
1.9,1,0.590643274853801
1.9,1.1,0.577142857142857
1.9,1.2,0.583815028901734
1.9,1.3,0.590643274853801
1.9,1.4,0.577142857142857
1.9,1.5,0.583815028901734
1.9,1.6,0.528795811518325
1.9,1.7,0.441048034934498
1.9,1.8,0.322683706070288
1.9,1.9,0.17003367003367
1.9,2,0.144699140401146
1.9,2.1,0.098
1.9,2.2,0.097
1.9,2.3,0.09
1.9,2.4,0.098
1.9,2.5,0.08
2,1,0.517948717948718
2,1.1,0.528795811518325
2,1.2,0.523316062176166
2,1.3,0.534391534391534
2,1.4,0.517948717948718
2,1.5,0.507537688442211
2,1.6,0.461187214611872
2,1.7,0.384030418250951
2,1.8,0.248157248157248
2,1.9,0.133069828722003
2,2,0.07
2,2.1,0.033
2,2.2,0.025
2,2.3,0.017
2,2.4,0.027
2,2.5,0.027
2.1,1,0.502487562189055
2.1,1.1,0.512690355329949
2.1,1.2,0.507537688442211
2.1,1.3,0.502487562189055
2.1,1.4,0.507537688442211
2.1,1.5,0.497536945812808
2.1,1.6,0.461187214611872
2.1,1.7,0.36996336996337
2.1,1.8,0.204868154158215
2.1,1.9,0.078
2.1,2,0.046
2.1,2.1,0.014
2.1,2.2,0.003
2.1,2.3,0.007
2.1,2.4,0.011
2.1,2.5,0.005
2.2,1,0.502487562189055
2.2,1.1,0.502487562189055
2.2,1.2,0.502487562189055
2.2,1.3,0.502487562189055
2.2,1.4,0.502487562189055
2.2,1.5,0.497536945812808
2.2,1.6,0.474178403755869
2.2,1.7,0.34006734006734
2.2,1.8,0.266490765171504
2.2,1.9,0.082
2.2,2,0.027
2.2,2.1,0.007
2.2,2.2,0.001
2.2,2.3,0
2.2,2.4,0
2.2,2.5,0
2.3,1,0.502487562189055
2.3,1.1,0.502487562189055
2.3,1.2,0.502487562189055
2.3,1.3,0.502487562189055
2.3,1.4,0.502487562189055
2.3,1.5,0.497536945812808
2.3,1.6,0.452914798206278
2.3,1.7,0.37546468401487
2.3,1.8,0.222958057395143
2.3,1.9,0.089
2.3,2,0.021
2.3,2.1,0.003
2.3,2.2,0
2.3,2.3,0
2.3,2.4,0
2.3,2.5,0
2.4,1,0.502487562189055
2.4,1.1,0.502487562189055
2.4,1.2,0.502487562189055
2.4,1.3,0.502487562189055
2.4,1.4,0.502487562189055
2.4,1.5,0.497536945812808
2.4,1.6,0.433476394849785
2.4,1.7,0.349480968858132
2.4,1.8,0.230068337129841
2.4,1.9,0.075
2.4,2,0.021
2.4,2.1,0.002
2.4,2.2,0
2.4,2.3,0
2.4,2.4,0
2.4,2.5,0
2.5,1,0.502487562189055
2.5,1.1,0.502487562189055
2.5,1.2,0.502487562189055
2.5,1.3,0.502487562189055
2.5,1.4,0.502487562189055
2.5,1.5,0.497536945812808
2.5,1.6,0.478672985781991
2.5,1.7,0.364620938628159
2.5,1.8,0.24220623501199
2.5,1.9,0.103589743589744
2.5,2,0.028
2.5,2.1,0.004
2.5,2.2,0
2.5,2.3,0
2.5,2.4,0
2.5,2.5,0
