SNR_1,SNR_2,BLER
-3,-3,1
-3,-2,0.990196078431373
-3,-1,0.980582524271845
-3,0,0.926605504587156
-3,1,0.885964912280702
-3,2,0.782945736434108
-3,3,0.716312056737589
-3,4,0.635220125786163
-3,5,0.502487562189055
-3,6,0.450892857142857
-3,7,0.439130434782609
-3,8,0.402390438247012
-3,9,0.392996108949416
-3,10,0.359430604982206
-3,11,0.355633802816901
-3,12,0.345890410958904
-2,-3,1
-2,-2,0.990196078431373
-2,-1,0.990196078431373
-2,0,0.918181818181818
-2,1,0.901785714285714
-2,2,0.782945736434108
-2,3,0.673333333333333
-2,4,0.643312101910828
-2,5,0.51530612244898
-2,6,0.507537688442211
-2,7,0.420833333333333
-2,8,0.420833333333333
-2,9,0.363309352517986
-2,10,0.356890459363958
-2,11,0.348275862068965
-2,12,0.353146853146853
-1,-3,0.980582524271845
-1,-2,0.990196078431373
-1,-1,0.90990990990991
-1,0,0.935185185185185
-1,1,0.901785714285714
-1,2,0.821138211382114
-1,3,0.660130718954248
-1,4,0.608433734939759
-1,5,0.561111111111111
-1,6,0.442982456140351
-1,7,0.405622489959839
-1,8,0.413934426229508
-1,9,0.372693726937269
-1,10,0.347079037800687
-1,11,0.347079037800687
-1,12,0.322683706070288
0,-3,0.926605504587156
0,-2,0.918181818181818
0,-1,0.893805309734513
0,0,0.855932203389831
0,1,0.801587301587302
0,2,0.770992366412214
0,3,0.655844155844156
0,4,0.564245810055866
0,5,0.512690355329949
0,6,0.37546468401487
0,7,0.337792642140468
0,8,0.363309352517986
0,9,0.362007168458781
0,10,0.326860841423948
0,11,0.312693498452012
0,12,0.323717948717949
1,-3,0.926605504587156
1,-2,0.893805309734513
1,-1,0.878260869565217
1,0,0.801587301587302
1,1,0.716312056737589
1,2,0.716312056737589
1,3,0.615853658536585
1,4,0.502487562189055
1,5,0.431623931623932
1,6,0.408906882591093
1,7,0.353146853146853
1,8,0.344709897610922
1,9,0.293604651162791
1,10,0.316614420062696
1,11,0.273712737127371
1,12,0.265789473684211
2,-3,0.782945736434108
2,-2,0.814516129032258
2,-1,0.834710743801653
2,0,0.782945736434108
2,1,0.682432432432432
2,2,0.664473684210526
2,3,0.5
2,4,0.523316062176166
2,5,0.392996108949416
