SNR_1,SNR_2,BLER
-3,-3,0.961904761904762
-3,-2,0.855932203389831
-3,-1,0.721428571428571
-3,0,0.601190476190476
-3,1,0.47196261682243
-3,2,0.412244897959184
-3,3,0.365942028985507
-3,4,0.342372881355932
-3,5,0.328990228013029
-3,6,0.314641744548287
-3,7,0.319620253164557
-3,8,0.310769230769231
-3,9,0.317610062893082
-3,10,0.308868501529052
-3,11,0.317610062893082
-2,-3,0.814516129032258
-2,-2,0.782945736434108
-2,-1,0.660130718954248
-2,0,0.526041666666667
-2,1,0.397637795275591
-2,2,0.342372881355932
-2,3,0.293604651162791
-2,4,0.285310734463277
-2,5,0.261658031088083
-2,6,0.249382716049383
-2,7,0.256345177664975
-2,8,0.263020833333333
-2,9,0.237089201877934
-2,10,0.245742092457421
-2,11,0.243961352657005
-1,-3,0.66887417218543
-1,-2,0.608433734939759
-1,-1,0.517948717948718
-1,0,0.337792642140468
-1,1,0.267195767195767
-1,2,0.227477477477477
-1,3,0.167495854063018
-1,4,0.185661764705882
-1,5,0.158307210031348
-1,6,0.168053244592346
-1,7,0.1578125
-1,8,0.16031746031746
-1,9,0.15955766192733
-1,10,0.159810126582278
-1,11,0.168896321070234
0,-3,0.567415730337079
0,-2,0.480952380952381
0,-1,0.381132075471698
0,0,0.235431235431235
0,1,0.146473779385172
0,2,0.0852090032154341
0,3,0.0857988165680473
0,4,0.0763888888888889
0,5,0.0706521739130435
0,6,0.0775401069518717
0,7,0.072463768115942
0,8,0.0824607329842932
0,9,0.0973684210526316
0,10,0.0822454308093995
0,11,0.072632944228275
1,-3,0.442982456140351
1,-2,0.433476394849785
1,-1,0.275204359673025
1,0,0.145421903052065
1,1,0.0645161290322581
1,2,0.0485133020344288
1,3,0.0358680057388809
1,4,0.0284167794316644
1,5,0.0260078023407022
1,6,0.0308483290488432
1,7,0.0277427490542245
1,8,0.0278128950695322
1,9,0.0225846925972397
1,10,0.0248756218905473
1,11,0.0185414091470952
2,-3,0.404
2,-2,0.326860841423948
2,-1,0.241626794258373
2,0,0.097682119205298
2,1,0.0453857791225416
2,2,0.0242165242165242
2,3,0.0067842605156038
2,4,0.00759493670886076
2,5,0.0134474327628362
2,6,0.00355450236966825
2,7,0.00828402366863905
2,8,0.00947867298578199
2,9,0.00696864111498258
2,10,0.0120192307692308
2,11,0.00586166471277843
3,-3,0.364620938628159
3,-2,0.291907514450867
3,-1,0.198428290766208
3,0,0.0914542728635682
3,1,0.0373027259684362
3,2,0.00675675675675676
3,3,0.00858895705521472
3,4,0
3,5,0.00228050171037628
3,6,0
3,7,0.00221238938053097
3,8,0.00223463687150838
3,9,0.00109769484083425
3,10,0.00221238938053097
3,11,0.00111607142857143
4,-3,0.35191637630662
4,-2,0.273712737127371
4,-1,0.153729071537291
4,0,0.0735502121640736
4,1,0.0363881401617251
4,2,0.0089171974522293
4,3,0.00474495848161329
4,4,0.00110987791342952
4,5,0
4,6,0.00107181136120043
4,7,0
4,8,0.00104602510460251
4,9,0
4,10,0
4,11,0
5,-3,0.332236842105263
5,-2,0.26790450928382
5,-1,0.163430420711974
5,0,0.0831099195710456
5,1,0.0273081924577373
5,2,0.0096969696969697
5,3,0.0022883295194508
5,4,0.00109769484083425
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0.00102880658436214
5,10,0
5,11,0.00102669404517454
6,-3,0.319620253164557
6,-2,0.269333333333333
6,-1,0.17595818815331
6,0,0.0742705570291777
6,1,0.029449423815621
6,2,0.00710900473933649
6,3,0.0023121387283237
6,4,0
6,5,0
6,6,0
6,7,0.0010183299389002
6,8,0
6,9,0
6,10,0
6,11,0
7,-3,0.306990881458967
7,-2,0.270053475935829
7,-1,0.171477079796265
7,0,0.073490813648294
7,1,0.0357142857142857
7,2,0.00832342449464923
7,3,0.00561797752808989
7,4,0
7,5,0
7,6,0
7,7,0.00101112234580384
7,8,0
7,9,0
7,10,0
7,11,0
8,-3,0.314641744548287
8,-2,0.251243781094527
8,-1,0.156832298136646
8,0,0.0917431192660551
8,1,0.0236318407960199
8,2,0.00710059171597633
8,3,0.00111856823266219
8,4,0.00105263157894737
8,5,0
8,6,0
8,7,0.00100401606425703
8,8,0
8,9,0
8,10,0
8,11,0
9,-3,0.309815950920245
9,-2,0.248157248157248
9,-1,0.17003367003367
9,0,0.0986842105263158
9,1,0.0339195979899497
9,2,0.00821596244131455
9,3,0.00110619469026549
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
10,-3,0.32475884244373
10,-2,0.251870324189526
10,-1,0.141258741258741
10,0,0.0755208333333333
10,1,0.0290037831021438
10,2,0.0117370892018779
10,3,0.00336322869955157
10,4,0.00107181136120043
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
11,-3,0.32475884244373
11,-2,0.239336492890995
11,-1,0.173241852487136
11,0,0.0684754521963824
11,1,0.0313676286072773
11,2,0.00701754385964912
11,3,0.0033112582781457
11,4,0.00106269925611052
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
11,11,0
